time,ambient_temperature,relative_humidity,node_id,it_load_kw,pue,wue,water_consumption_liters,grid_carbon_intensity,energy_spot_price_eur,d_async_kw,d_sync_kw,hora_sin,hora_cos,dsync_lag_1h,dsync_rolling_4h_pasado,delta_dsync_pasado,inercia_termica_ext_3h,delta_temp_1h
2024-10-19 15:00:00,21.8,53,SANTIAGO,646.49,1.2156922416916518,0.018,11.64,173.85,43.62,129.3,517.19,-0.7071067811865471,-0.7071067811865479,460.38,526.3475,-48.13999999999999,19.36666666666667,2.0
2024-10-19 16:00:00,22.9,50,SANTIAGO,694.3,1.198488293044749,0.02,13.89,187.4,66.3,158.37,535.93,-0.8660254037844385,-0.5000000000000004,517.19,506.115,56.81000000000006,21.5,1.099999999999998
2024-10-19 17:00:00,22.9,48,SANTIAGO,774.27,1.1896529044691109,0.019,14.71,205.68,78.69,192.21,582.06,-0.9659258262890684,-0.2588190451025206,535.93,505.505,18.73999999999989,22.53333333333333,0.0
2024-10-19 18:00:00,22.4,47,SANTIAGO,817.8,1.171293961643701,0.022,17.99,224.06,91.13,215.75,602.05,-1.0,-1.8369701987210292e-16,582.06,523.89,46.13,22.73333333333333,-0.5
2024-10-19 19:00:00,21.2,50,SANTIAGO,835.2,1.1772105548999154,0.021,17.54,280.52,113.69,214.17,621.03,-0.9659258262890684,0.2588190451025203,602.05,559.3074999999999,19.99000000000001,22.166666666666668,-1.1999999999999993
2024-10-19 20:00:00,19.2,55,SANTIAGO,823.15,1.189264147363101,0.021,17.29,263.58,121.81,221.11,602.04,-0.8660254037844386,0.5000000000000001,621.03,585.2674999999999,18.98000000000001,20.933333333333334,-2.0
2024-10-19 21:00:00,17.1,61,SANTIAGO,789.44,1.2086064694877026,0.021,16.58,274.33,110.6,232.24,557.2,-0.7071067811865477,0.7071067811865474,602.04,601.795,-18.99000000000001,19.166666666666668,-2.099999999999998
2024-10-19 22:00:00,15.1,68,SANTIAGO,666.95,1.1932604528347863,0.022,14.67,264.79,115.06,199.7,467.25,-0.5000000000000004,0.8660254037844384,557.2,595.5799999999999,-44.83999999999992,17.133333333333333,-2.0000000000000018
2024-10-19 23:00:00,13.4,74,SANTIAGO,598.51,1.177067618209906,0.018,10.77,255.02,110.36,179.55,418.96,-0.2588190451025215,0.965925826289068,467.25,561.88,-89.95000000000005,15.200000000000005,-1.6999999999999993
2024-10-20 00:00:00,12.4,78,SANTIAGO,401.23,1.1805121726212209,0.018,7.22,245.91,100.01,113.57,287.66,0.0,1.0,418.96,511.3625,-48.29000000000002,13.633333333333336,-1.0
2024-10-20 01:00:00,12.3,77,SANTIAGO,416.01,1.206752358060431,0.02,8.32,237.94,93.05,124.8,291.21,0.2588190451025207,0.9659258262890684,287.66,432.7675,-131.29999999999995,12.7,-0.0999999999999996
2024-10-20 02:00:00,11.6,80,SANTIAGO,388.08,1.1942163945762378,0.019,7.37,210.78,99.17,116.42,271.66,0.4999999999999999,0.8660254037844387,291.21,366.27,3.5499999999999545,12.1,-0.7000000000000011
2024-10-20 03:00:00,10.9,85,SANTIAGO,427.24,1.189069668832175,0.019,8.12,209.67,101.25,125.17,302.07,0.7071067811865476,0.7071067811865476,271.66,317.3725,-19.549999999999955,11.6,-0.6999999999999993
2024-10-20 04:00:00,9.9,91,SANTIAGO,416.53,1.1773917852177973,0.018,7.5,192.58,78.34,116.91,299.62,0.8660254037844386,0.5000000000000001,302.07,288.15,30.409999999999968,10.800000000000002,-1.0
2024-10-20 05:00:00,9.2,94,SANTIAGO,446.13,1.1933758584994791,0.024,10.71,175.9,74.91,113.21,332.92,0.9659258262890684,0.2588190451025207,299.62,291.14,-2.4499999999999886,10.000000000000002,-0.7000000000000011
2024-10-20 06:00:00,9.6,91,SANTIAGO,488.57,1.2088943138247257,0.018,8.79,190.38,86.28,129.21,359.36,1.0,6.123233995736766e-17,332.92,301.5675,33.30000000000001,9.566666666666668,0.4000000000000003
2024-10-20 07:00:00,10.2,86,SANTIAGO,596.99,1.1850280139916298,0.02,11.94,184.82,74.7,150.39,446.6,0.9659258262890684,-0.2588190451025206,359.36,323.4925,26.44,9.666666666666666,0.5999999999999996
2024-10-20 08:00:00,10.4,84,SANTIAGO,664.0,1.1915233435159158,0.019,12.62,176.46,63.73,151.01,512.99,0.8660254037844387,-0.4999999999999998,446.6,359.625,87.24000000000001,10.066666666666668,0.200000000000001
2024-10-20 09:00:00,10.5,83,SANTIAGO,735.57,1.1843582312989196,0.023,16.92,154.58,42.75,168.53,567.04,0.7071067811865476,-0.7071067811865475,512.99,412.9675,66.38999999999999,10.366666666666667,0.0999999999999996
2024-10-20 10:00:00,10.2,85,SANTIAGO,757.85,1.191639059134844,0.021,15.91,126.66,37.12,160.49,597.36,0.4999999999999999,-0.8660254037844387,567.04,471.4975,54.04999999999996,10.366666666666667,-0.3000000000000007
2024-10-20 11:00:00,10.4,84,SANTIAGO,727.37,1.1759994676537089,0.02,14.55,118.79,35.72,154.83,572.54,0.258819045102521,-0.9659258262890682,597.36,530.9975,30.32000000000005,10.366666666666667,0.200000000000001
2024-10-20 12:00:00,11.0,81,SANTIAGO,663.31,1.174858166006039,0.018,11.94,139.5,30.4,132.66,530.65,1.2246467991473532e-16,-1.0,572.54,562.4825000000001,-24.82000000000005,10.533333333333331,0.5999999999999996
2024-10-20 13:00:00,13.3,65,SANTIAGO,621.48,1.193770656834375,0.023,14.29,128.04,28.42,124.3,497.18,-0.2588190451025208,-0.9659258262890684,530.65,566.8974999999999,-41.88999999999999,11.566666666666668,2.3000000000000007
2024-10-20 14:00:00,14.9,60,SANTIAGO,605.94,1.173778834476261,0.022,13.33,135.38,31.44,121.39,484.55,-0.4999999999999997,-0.8660254037844388,497.18,549.4325,-33.46999999999997,13.066666666666668,1.5999999999999996
2024-10-20 15:00:00,16.5,56,SANTIAGO,636.94,1.1969876932974366,0.019,12.1,158.24,45.02,136.57,500.37,-0.7071067811865471,-0.7071067811865479,484.55,521.23,-12.629999999999995,14.9,1.5999999999999996
2024-10-20 16:00:00,17.4,53,SANTIAGO,704.06,1.194658677721379,0.018,12.67,179.19,54.85,161.87,542.19,-0.8660254037844385,-0.5000000000000004,500.37,503.1875,15.819999999999991,16.266666666666666,0.8999999999999986
2024-10-20 17:00:00,18.1,48,SANTIAGO,775.35,1.1844696956547438,0.017,13.18,190.55,78.92,197.86,577.49,-0.9659258262890684,-0.2588190451025206,542.19,506.0725,41.82000000000005,17.333333333333332,0.7000000000000028
2024-10-20 18:00:00,20.0,42,SANTIAGO,845.33,1.211125594818494,0.021,17.75,223.43,99.59,211.57,633.76,-1.0,-1.8369701987210292e-16,577.49,526.1500000000001,35.299999999999955,18.5,1.8999999999999984
2024-10-20 19:00:00,20.9,36,SANTIAGO,850.02,1.1819985521021317,0.02,17.0,263.26,119.55,226.36,623.66,-0.9659258262890684,0.2588190451025203,633.76,563.4525,56.26999999999998,19.666666666666668,0.8999999999999986
2024-10-20 20:00:00,19.4,38,SANTIAGO,811.91,1.1813806345773348,0.022,17.86,276.56,113.7,232.95,578.96,-0.8660254037844386,0.5000000000000001,623.66,594.275,-10.100000000000025,20.1,-1.5
2024-10-20 21:00:00,18.9,41,SANTIAGO,742.78,1.1808417398411073,0.021,15.6,256.45,111.92,196.73,546.05,-0.7071067811865477,0.7071067811865474,578.96,603.4675,-44.69999999999993,19.73333333333333,-0.5
2024-10-20 22:00:00,15.9,57,SANTIAGO,682.93,1.1811861255915896,0.022,15.02,259.22,116.21,202.97,479.96,-0.5000000000000004,0.8660254037844384,546.05,595.6075,-32.91000000000008,18.066666666666663,-2.9999999999999982
2024-10-20 23:00:00,14.2,63,SANTIAGO,585.77,1.198355239051702,0.018,10.54,289.82,112.33,175.73,410.04,-0.2588190451025215,0.965925826289068,479.96,557.1575,-66.08999999999997,16.333333333333332,-1.700000000000001
2024-10-21 00:00:00,13.6,67,SANTIAGO,384.51,1.1826137498918097,0.021,8.07,241.1,106.46,115.35,269.16,0.0,1.0,410.04,503.75250000000005,-69.91999999999996,14.566666666666668,-0.5999999999999996
2024-10-21 01:00:00,13.2,70,SANTIAGO,412.3,1.1818373893940468,0.02,8.25,214.16,100.06,118.37,293.93,0.2588190451025207,0.9659258262890684,269.16,426.3025,-140.88,13.666666666666666,-0.4000000000000003
2024-10-21 02:00:00,12.7,72,SANTIAGO,396.27,1.1783529148284595,0.021,8.32,220.73,98.55,115.94,280.33,0.4999999999999999,0.8660254037844387,293.93,363.2725,24.769999999999985,13.166666666666666,-0.5
2024-10-21 03:00:00,12.2,73,SANTIAGO,418.65,1.207471223893811,0.02,8.37,193.67,97.04,122.55,296.1,0.7071067811865476,0.7071067811865476,280.33,313.365,-13.600000000000025,12.7,-0.5
2024-10-21 04:00:00,11.8,75,SANTIAGO,402.81,1.1848660427656517,0.021,8.46,203.08,86.9,112.3,290.51,0.8660254037844386,0.5000000000000001,296.1,284.88,15.77000000000004,12.233333333333334,-0.3999999999999986
2024-10-21 05:00:00,11.2,79,SANTIAGO,436.22,1.1800197625367803,0.02,8.72,197.81,78.12,113.15,323.07,0.9659258262890684,0.2588190451025207,290.51,290.2175,-5.590000000000032,11.733333333333334,-0.6000000000000014
2024-10-21 06:00:00,10.9,80,SANTIAGO,494.56,1.201212281298666,0.019,9.4,182.71,81.91,123.24,371.32,1.0,6.123233995736766e-17,323.07,297.5025,32.56,11.300000000000002,-0.2999999999999989
2024-10-21 07:00:00,10.5,83,SANTIAGO,570.74,1.1906874256406998,0.022,12.56,205.35,80.8,137.7,433.04,0.9659258262890684,-0.2588190451025206,371.32,320.25,48.25,10.866666666666667,-0.4000000000000003
2024-10-21 08:00:00,9.6,86,SANTIAGO,658.47,1.2025839626054302,0.021,13.83,159.57,61.77,137.17,521.3,0.8660254037844387,-0.4999999999999998,433.04,354.485,61.72000000000003,10.333333333333334,-0.9000000000000004
2024-10-21 09:00:00,10.2,79,SANTIAGO,734.47,1.192132962065089,0.019,13.95,146.94,42.96,147.97,586.5,0.7071067811865476,-0.7071067811865475,521.3,412.1825,88.25999999999993,10.1,0.5999999999999996
2024-10-21 10:00:00,10.4,75,SANTIAGO,778.56,1.1980029591287766,0.021,16.35,111.83,38.1,170.64,607.92,0.4999999999999999,-0.8660254037844387,586.5,478.04,65.20000000000005,10.066666666666668,0.200000000000001
2024-10-21 11:00:00,11.3,71,SANTIAGO,745.23,1.1686404960786565,0.014,10.43,135.95,29.43,153.16,592.07,0.258819045102521,-0.9659258262890682,607.92,537.19,21.41999999999996,10.633333333333336,0.9000000000000004
2024-10-21 12:00:00,13.2,64,SANTIAGO,705.62,1.1926161046538768,0.025,17.64,118.13,32.88,141.76,563.86,1.2246467991473532e-16,-1.0,592.07,576.9475,-15.849999999999907,11.633333333333336,1.8999999999999984
2024-10-21 13:00:00,15.1,62,SANTIAGO,618.47,1.1957623050778383,0.019,11.75,130.94,26.88,123.69,494.78,-0.2588190451025208,-0.9659258262890684,563.86,587.5875,-28.21000000000004,13.200000000000005,1.9000000000000004
2024-10-21 14:00:00,17.1,58,SANTIAGO,629.99,1.1925760077074992,0.018,11.34,144.38,37.13,139.68,490.31,-0.4999999999999997,-0.8660254037844388,494.78,564.6575,-69.08000000000004,15.133333333333336,2.0000000000000018
2024-10-21 15:00:00,19.2,52,SANTIAGO,637.89,1.199485827729017,0.019,12.12,151.44,49.19,132.9,504.99,-0.7071067811865471,-0.7071067811865479,490.31,535.255,-4.46999999999997,17.133333333333336,2.099999999999998
2024-10-21 16:00:00,21.1,47,SANTIAGO,714.02,1.1986346247648572,0.018,12.85,188.35,63.92,170.4,543.62,-0.8660254037844385,-0.5000000000000004,504.99,513.485,14.680000000000009,19.133333333333336,1.900000000000002
