time,ambient_temperature,relative_humidity,node_id,it_load_kw,pue,wue,water_consumption_liters,grid_carbon_intensity,energy_spot_price_eur,d_async_kw,d_sync_kw,hora_sin,hora_cos,dsync_lag_1h,dsync_rolling_4h_pasado,delta_dsync_pasado,inercia_termica_ext_3h,delta_temp_1h
2024-10-20 00:00:00,15.4,80,VALENCIA,404.09,1.1847227281988235,0.366,147.9,164.96,101.95,121.23,282.86,0.0,1.0,425.52,502.225,-44.93000000000001,16.166666666666686,-0.5
2024-10-20 01:00:00,15.3,79,VALENCIA,409.42,1.1712235418692163,0.362,148.21,170.96,88.66,122.83,286.59,0.2588190451025207,0.9659258262890684,282.86,426.555,-142.65999999999997,15.533333333333353,-0.0999999999999996
2024-10-20 02:00:00,15.1,76,VALENCIA,392.26,1.16514732066885,0.354,138.86,166.46,93.32,113.87,278.39,0.4999999999999999,0.8660254037844387,286.59,366.355,3.729999999999961,15.266666666666689,-0.200000000000001
2024-10-20 03:00:00,15.0,76,VALENCIA,421.95,1.1764872321239437,0.35,147.68,158.92,73.98,117.45,304.5,0.7071067811865476,0.7071067811865476,278.39,318.34000000000003,-8.199999999999989,15.133333333333352,-0.0999999999999996
2024-10-20 04:00:00,15.4,75,VALENCIA,425.13,1.1926632122266083,0.366,155.6,137.23,70.12,113.3,311.83,0.8660254037844386,0.5000000000000001,304.5,288.08500000000004,26.110000000000014,15.166666666666686,0.4000000000000003
2024-10-20 05:00:00,16.0,72,VALENCIA,441.01,1.1872953210129404,0.39,171.99,127.41,75.13,112.75,328.26,0.9659258262890684,0.2588190451025207,311.83,295.3275,7.329999999999984,15.466666666666685,0.5999999999999996
2024-10-20 06:00:00,17.0,68,VALENCIA,492.83,1.2083680999613653,0.43,211.92,149.35,67.54,127.89,364.94,1.0,6.123233995736766e-17,328.26,305.745,16.430000000000007,16.13333333333335,1.0
2024-10-20 07:00:00,17.4,68,VALENCIA,569.69,1.204280924994563,0.446,254.08,132.35,66.92,130.49,439.2,0.9659258262890684,-0.2588190451025206,364.94,327.3825,36.68000000000001,16.80000000000002,0.3999999999999986
2024-10-20 08:00:00,19.0,65,VALENCIA,659.32,1.1930342091124777,0.51,336.25,106.2,62.57,144.63,514.69,0.8660254037844387,-0.4999999999999998,439.2,361.0575,74.25999999999999,17.80000000000002,1.6000000000000014
2024-10-20 09:00:00,21.0,63,VALENCIA,738.19,1.2056773058445729,0.59,435.53,115.08,56.22,155.97,582.22,0.7071067811865476,-0.7071067811865475,514.69,411.7725,75.49000000000007,19.13333333333335,2.0
2024-10-20 10:00:00,24.0,51,VALENCIA,761.36,1.2033627679617758,0.71,540.57,110.61,63.35,152.27,609.09,0.4999999999999999,-0.8660254037844387,582.22,475.2625000000001,67.52999999999997,21.33333333333336,3.0
2024-10-20 11:00:00,24.2,49,VALENCIA,736.75,1.21473215720903,0.718,528.99,102.15,63.14,155.71,581.04,0.258819045102521,-0.9659258262890682,609.09,536.3000000000001,26.870000000000005,23.066666666666688,0.1999999999999993
2024-10-20 12:00:00,24.4,52,VALENCIA,671.54,1.2080368796732552,0.726,487.54,95.66,58.44,134.31,537.23,1.2246467991473532e-16,-1.0,581.04,571.76,-28.050000000000068,24.200000000000017,0.1999999999999993
2024-10-20 13:00:00,24.4,53,VALENCIA,651.56,1.2271876165897504,0.726,473.03,98.48,62.98,138.32,513.24,-0.2588190451025208,-0.9659258262890684,537.23,577.395,-43.809999999999945,24.33333333333336,0.0
